codigo,disciplina,turma,horario,local,docente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,ementa
01,FGA0074 - TEORIA DE ELETRÔNICA DIGITAL 2,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,EMMANUEL PACHECO ROCHA LIMA (15h),"2T4
											


		

											Segunda-feira 16:00 às 16:55",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,EMMANUEL PACHECO ROCHA LIMA (15h),"4T4
											


		

											Quarta-feira 16:00 às 16:55",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,RODRIGO ARBEY MUNOZ MENESES (15h),"4M3
											


		

											Quarta-feira 10:00 às 10:55",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
04,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,EMMANUEL PACHECO ROCHA LIMA (15h),"4M5
											


		

											Quarta-feira 12:00 às 12:55",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
08,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,SANDRA MARIA DA LUZ (15h),"2M2
											


		

											Segunda-feira 08:55 às 09:50",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
09,FGA0075 - LABORATÓRIO DE MATERIAIS DE CONSTRUÇÃO,SANDRA MARIA DA LUZ (15h),"2M3
											


		

											Segunda-feira 10:00 às 10:55",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0076 - EQUIPAMENTOS TERMOFLUIDOS AUTOMOTIVOS,"ALESSANDRO BORGES DE SOUSA OLIVEIRA (30h)
										
										
										FABIO ALFAIA DA CUNHA (30h)","46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0077 - INTRODUÇÃO AO DESGASTE,EDISON GUSTAVO CUEVA GALARRAGA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,15,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0078 - TEORIA DE MATERIAIS DE CONSTRUÇÃO,EMMANUEL PACHECO ROCHA LIMA (45h),"2T23 4T1
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 12:55 às 13:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
