codigo,disciplina,turma,horario,local,docente
01,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),"6T23
											


		

											Sexta-feira 14:00 às 15:50",,50
02,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),"3T45
											


		

											Terça-feira 16:00 às 17:50",,80
03,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),"6M5  6T1
											


		

											Sexta-feira 12:00 às 13:50",,80
01,2025.1,"RAFAEL CASTILHO FARIA MENDES (30h)
										
										
										THIAGO FELIPPE KURUDEZ CORDEIRO (30h)","46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,45
01,2025.1,LOANA NUNES VELASCO (60h),"46T45
											


		

											Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,20
01,2025.1,MAURICIO SERRANO (60h),"26M34
											


		

											Segunda-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,120
01,2025.1,EVANDRO LEONARDO SILVA TEIXEIRA (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,20
01,2025.1,CLAUDIA PATRICIA OCHOA DIAZ (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45
01,2025.1,PAULA MEYER SOARES (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,130
02,2025.1,GLAUCENY CIRNE DE MEDEIROS (60h),"46T45
											


		

											Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,130
01,2025.1,MAURICIO SERRANO (60h),"26M12
											


		

											Segunda-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,80
02,2025.1,GLAUCO VITOR PEDROSA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,80
03,2025.1,GLAUCO VITOR PEDROSA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80
01,2025.1,MARIA VITORIA DUARTE FERRARI (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,40
01,2025.1,TIAGO ALVES DA FONSECA (60h),"26M12
											


		

											Segunda-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,110
02,2025.1,TIAGO ALVES DA FONSECA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,60
01,2025.1,NILTON CORREIA DA SILVA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,80
02,2025.1,JOHN LENON CARDOSO GARDENGHI (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,120
01,2025.1,MARIA ALZIRA DE ARAUJO NUNES (30h),"2M34
											


		

											Segunda-feira 10:00 às 11:50",,60
02,2025.1,MARIA ALZIRA DE ARAUJO NUNES (30h),"2M12
											


		

											Segunda-feira 08:00 às 09:50",,120
01,2025.1,MATEUS RODRIGUES MIRANDA (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,15
01,2025.1,GLAUCENY CIRNE DE MEDEIROS (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,60
02,2025.1,SUZANA MOREIRA AVILA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,80
03,2025.1,SERGIO HENRIQUE DA SILVA CARNEIRO (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,80
01,2025.1,ENEIDA GONZALEZ VALDES (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,40
01,2025.1,JULIANA PETROCCHI RODRIGUES (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,20
01,2025.1,MARILIA MIRANDA FORTE GOMES (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,130
02,2025.1,RODRIGO ANDRES MIRANDA CERDA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,130
01,2025.1,ANDRE LUIZ PERON MARTINS LANNA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,45
02,2025.1,HENRIQUE GOMES DE MOURA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,80
03,2025.1,HENRIQUE GOMES DE MOURA (60h),"35M5  35T1
											


		

											Terça-feira 12:00 às 13:50Quinta-feira 12:00 às 13:50",,80
06,2025.1,ANDRE LUIZ PERON MARTINS LANNA (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,80
02,2025.1,RODRIGO ANDRES MIRANDA CERDA (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,120
03,2025.1,LINDOMAR BOMFIM DE CARVALHO DE JESUS (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,49
01,2025.1,PATRICIA REGINA SOBRAL BRAGA (30h),"4T23
											


		

											Quarta-feira 14:00 às 15:50",,140
02,2025.1,RUDI HENRI VAN ELS (30h),"2M12
											


		

											Segunda-feira 08:00 às 09:50",,140
03,2025.1,RICARDO RAMOS FRAGELLI (30h),"2T23
											


		

											Segunda-feira 14:00 às 15:50",,140
01,2025.1,SANDRA MARIA FALEIROS LIMA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,45
02,2025.1,SANDRA MARIA FALEIROS LIMA (60h),"46M5  46T1
											


		

											Quarta-feira 12:00 às 13:50Sexta-feira 12:00 às 13:50",,90
03,2025.1,VANESSA MARIA DE CASTRO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,90
04,2025.1,VANESSA MARIA DE CASTRO (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,90
01,2025.1,FABIANO ARAUJO SOARES (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,60
01,2025.1,SALEH BARBOSA KHALIL (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,45
01,2025.1,EUCLIDES DELGADO MARQUES SANT ANNA (90h),"246M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,75
02,2025.1,SALEH BARBOSA KHALIL (90h),"235M34
											


		

											Segunda-feira 10:00 às 11:50Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,75
04,2025.1,MATEUS RODRIGUES MIRANDA (90h),"356T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,75
05,2025.1,ENEIDA GONZALEZ VALDES (90h),"246M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,75
06,2025.1,HIMILSYS HERNANDEZ GONZALEZ (90h),"235M34
											


		

											Segunda-feira 10:00 às 11:50Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,75
01,2025.1,AUGUSTO CESAR DE MENDONCA BRASIL (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,60
01,2025.1,DANIEL SUNDFELD LIMA (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,120
01,2025.1,"ANDRE BARROS DE SALES (45h)
										
										
										EDUARDO GABRIEL QUEIROZ PALMEIRA (15h)","35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,40
